ACT_SEGREG,AREA_HA,AREA_M2,ARROJO_RR1,ARROJO_RR_,CANT_RRSS,CATEGORIA,CRIANZA_AN,DEN_BOT,DEPARTAMEN,DISTRITO,ESTE,Index,M_ADM_BOT,M_DISP_RRS,NORTE,PERIMETRO,PROVINCIA,QUEMA_BASU,ZONA
Si,3.91370619,39137.0619017,No,Si,600,Recuperación,No,Botadero Municipal,Arequipa,Quilca,755894.0,852,Municipalidad provincial de Camana,"Municipalidad provincial de Camana, Municipalidad distrital de José Maria Quimper, Municipalidad distrital de Mariscal Cáceres, Municipalidad distrital de Nicolas de Pierola, Municipalidad distrital de Samuel Pastor",8157969.0,998.12200444,Camaná,Si,18
Si,0.31,3100.0,No,No,0.4,Recuperación,No,Botadero S/N (Chaparra),Arequipa,Chaparra,627673.0,1762,MUNICIPALIDAD DISTRITAL DE CHAPARRA,Municipalidad Distrital de Chaparra,8265421.0,231.0,Caraveli,Si,18
No,2.42404698,24240.4697636,No,No,"0,4",Recuperación,No,Botadero S/N,Arequipa,Bella Unión,538679.0,247,Municipalidad distrital de Acari,Municipalidad distrital de Acari,8285035.0,778.35762789,Caravelí,Si,18
No,1.82972415,18297.241469,No,No,"0,6",Recuperación,No,Botadero S/N,Arequipa,Jaqui,561222.0,250,Municipalidad distrital de Jaqui,Municipalidad distrital de Jaqui,8289770.0,808.153177,Caravelí,Si,18
Si,0.69618912,6961.89122718,No,No,"0,8",Recuperación,No,Botadero S/N,Arequipa,Bella Unión,526899.0,266,Municipalidad distrital de Bella Unión,Municipalidad distrital de Bella Unión,8292861.0,349.63244828,Caravelí,Si,18
No,1.28817426,12881.7425964,No,No,"0,5",Recuperación,No,Botadero S/N,Arequipa,Yauca,549373.0,720,Municipalidad distrital de Yauca,Municipalidad distrital de Yauca,8269874.0,506.62052973,Caravelí,Si,18
Si,1.00533911,10053.3911355,No,Si,4,Recuperación,No,Botadero S/N,Arequipa,Chala,579728.0,898,Municipalidad distrital de Chala,Municipalidad distrital de Chala,8250197.0,477.68774759,Caravelí,Si,18
Si,3.24076451,32407.6451172,No,No,"0,7",Recuperación,No,Botadero Municipal,Arequipa,Caravelí,671870.0,945,Municipalidad provincial de Caravelí,Municipalidad provincial de Caravelí,8254835.0,1150.99437278,Caravelí,Si,18
No,0.173738,1737.37999671,No,No,"0,1",Recuperación,No,Botadero S/N,Arequipa,Yauca,560177.0,997,Municipalidad distrital de Atiquipa,Municipalidad distrital de Atiquipa,8258876.0,183.10993555,Caravelí,Si,18
Si,2.10520693,21052.0693414,No,No,2,Recuperación,No,Botadero S/N,Arequipa,Atico,645095.0,1261,Municipalidad distrital de Atico,Municipalidad distrital de Atico,8205994.0,682.75972199,Caravelí,Si,18
No,0.05299239,529.92389721,No,No,"0,4",Recuperación,No,Botadero S/N,Arequipa,Chaparra,619554.0,1648,Municipalidad distrital de Chaparra,Municipalidad distrital de Chaparra,8260002.0,112.84479923,Caravelí,Si,18
No,0.06989231,698.92311079,No,Si,"0,8",Recuperación,No,Botadero S/N,Arequipa,Andagua,785647.0,251,Municipalidad distrital de Andagua,Municipalidad distrital de Andagua,8283642.0,141.98705937,Castilla,Si,18
No,0.0803553,803.55296481,No,No,"0,5",Recuperación,No,Botadero S/N,Arequipa,Chachas,791985.0,264,Municipalidad distrital de Chachas,Municipalidad distrital de Chachas,8284590.0,128.2014182,Castilla,Si,18
Si,1.12470129,11247.0128894,No,Si,"0,9",Recuperación,No,Botadero S/N,Arequipa,Pampacolca,764501.0,701,Municipalidad distrital de Pampacolca,Municipalidad distrital de Pampacolca,8258534.0,419.0747606,Castilla,Si,18
No,0.11011262,1101.12616013,No,No,"0,3",Recuperación,No,Botadero S/N,Arequipa,Ayo,794165.0,719,Municipalidad distrital de Ayo,Municipalidad distrital de Ayo,8261294.0,127.72359814,Castilla,Si,18
Si,0.16259322,1625.93224371,No,No,"0,6",Recuperación,No,Botadero S/N,Arequipa,Viraco,765979.0,722,Municipalidad distrital de Viraco,Municipalidad distrital de Viraco,8265626.0,192.38460821,Castilla,Si,18
Si,0.08053656,805.36559159,No,No,"0,5",Recuperación,No,Botadero S/N,Arequipa,Machaguay,767696.0,791,Municipalidad distrital de Machaguay,Municipalidad distrital de Machaguay,8267813.0,109.43155025,Castilla,Si,18
Si,1.25591171,12559.117104,No,No,"1,1",Recuperación,No,Botadero S/N,Arequipa,Huancarqui,771417.0,813,Municipalidad distrital de Huancarqui,Municipalidad distrital de Huancarqui,8219025.0,514.00399546,Castilla,Si,18
Si,0.63326768,6332.67682989,No,Si,"1,84",Recuperación,No,Botadero Municipal,Arequipa,Aplao,768255.0,873,Municipalidad provincial de Castilla,Municipalidad provincial de Castilla,8224392.0,526.54120675,Castilla,Si,18
Si,0.45779619,4577.96186334,No,No,1,Recuperación,No,Botadero S/N,Arequipa,Orcopampa,785181.0,1142,Municipalidad distrital de Orcopampa,Municipalidad distrital de Orcopampa,8311170.0,309.99341212,Castilla,Si,18
No,0.3583593,3583.59296456,No,No,"0,429",Recuperación,No,Botadero Sector Alto San Francisco,Arequipa,Uraca,774429.0,1483,Municipalidad distrital de Uraca,Municipalidad distrital de Uraca,8198558.0,429.38205093,Castilla,Si,18
